派案單號,案件序號,案件來源,專案名稱,業者名稱,業者主業別,業者次業別,行政區,地址,地址備註,稽查日期,表單名稱,稽查結果代碼,稽查結果,FORM_LOG_ID,最後更新日期,CR_DATETIME,UP_DATETIME
A107090500129,7,調查及追蹤,,馨記北平烤鴨小吃店,餐飲業,攤販業,五股區,成泰路3段460號,,20180912,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090500129-00007-1-GHP,42:40.6,24:27.6,NULL
A107090500129,11,調查及追蹤,,麥當勞中和興南店,餐飲業,速食業,中和區,興南路1段83號1樓,,20180914,食品現場稽查紀錄表(GHP),A1,合格,A107090500129-00011-1-GHP,42:42.0,24:27.6,NULL
A107090500129,13,調查及追蹤,,莊脆皮烤鴨,餐飲業,攤販業,中和區,和平街154號,前攤商,20180917,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090500129-00013-1-GHP,56:03.8,24:27.6,NULL
A107090500129,14,調查及追蹤,,老兵手作包子饅頭,其他一般食品製造業,烘焙食品,中和區,中興街101之1號,,20180918,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090500129-00014-1-GHP,56:04.2,24:27.6,NULL
A107090600140,1,調查及追蹤,,貝兒絲樂園,餐飲業,一般餐廳,板橋區,文化路2段182巷3弄79號B1樓,,20180906,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090600140-00001-1-GHP,44:28.7,24:27.6,NULL
A107090600140,2,調查及追蹤,,麥當勞三峽文化店,餐飲業,速食業,三峽區,文化路72號1-3樓,,20180906,食品現場稽查紀錄表(GHP),A3,輔導改善,A107090600140-00002-1-GHP,44:29.1,24:27.6,NULL
A107090600155,2,專案,,振芳股份有限公司,物流業,進出口業,五股區,五工六路19號,22號,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00002-1-GHP,17:22.4,24:27.6,NULL
A107090600155,3,專案,,國華貿易股份有限公司,食品販賣業,食品添加物,五股區,五工六路19號,,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00003-1-GHP,17:39.4,24:27.6,NULL
A107090600155,4,專案,,惠民製藥股份有限公司,食品販賣業,其他,淡水區,中山北路3段113號,,20171115,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00004-1-GHP,17:53.8,24:27.6,NULL
A107090600155,5,專案,,千佑興業有限公司,物流業,進出口業,八里區,龍米路1段388號4樓,,20171115,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00005-1-GHP,18:05.0,24:27.6,NULL
A107090600155,6,專案,,聯辰興業有限公司,食品工廠,食品添加物,淡水區,中正東路2段69之11號,,20171115,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00006-1-GHP,18:31.1,24:27.6,NULL
A107090600155,7,專案,,富帆貿易有限公司,物流業,進出口業,中和區,建康路256號1樓,,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00007-1-GHP,55:13.2,24:27.6,NULL
A107090600155,8,專案,,華福食品股份有限公司林口廠,食品販賣業,便利商店,林口區,宏昌街8巷1號,,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00008-1-GHP,55:22.4,24:27.6,NULL
A107090600155,9,專案,,全台物流股份有限公司加工廠,食品工廠,肉及加工品,林口區,宏昌街1之2號,,20171113,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00009-1-GHP,55:31.1,24:27.6,NULL
A107090600155,10,專案,,新果國際農產物流有限公司,食品販賣業,其他,三重區,三民街157巷12號1樓,,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00010-1-GHP,55:41.4,24:27.6,NULL
A107090600155,11,專案,,仕琦有限公司,食品販賣業,食品添加物,五股區,五工六路19號,,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00011-1-GHP,55:50.5,24:27.6,NULL
A107090600155,12,專案,,嘉毓企業有限公司,食品工廠,食用油脂,八里區,頂寮一街28巷13號1樓,,20171115,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00012-1-GHP,56:04.1,24:27.6,NULL
A107090600155,13,專案,,育萌生技有限公司,物流業,進出口業,新莊區,萬安街40巷3號4樓,,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00013-1-GHP,56:12.9,24:27.6,NULL
A107090600155,14,專案,,閩台貿易有限公司,物流業,進出口業,永和區,得和路53巷7號2樓,,20171113,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00014-1-GHP,56:23.4,24:27.6,NULL
A107090600155,15,專案,,立台食品工業股份有限公司,食品工廠,肉及加工品,三重區,光華路59號,,20171113,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00015-1-GHP,56:41.2,24:27.6,NULL
A107090600155,16,專案,,昇紘實業有限公司,物流業,進出口業,五股區,成泰路1段189巷18號14樓,,20171113,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00016-1-GHP,56:33.5,24:27.6,NULL
A107090600155,17,專案,,易利資訊企業社,食品販賣業,食品添加物,板橋區,新海路72巷5弄17之1號2樓,,20171113,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00017-1-GHP,56:48.3,24:27.6,NULL
A107090600155,18,專案,,堅麗國際科技有限公司,物流業,食品添加物,永和區,保平路236巷24弄15號,,20171113,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00018-1-GHP,56:57.6,24:27.6,NULL
A107090600155,19,專案,,義合旺興業股份有限公司,食品販賣業,水產及加工品,中和區,建一路3號6樓,,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00019-1-GHP,57:05.8,24:27.6,NULL
A107090600155,20,專案,,福威國際有限公司,物流業,進出口業,中和區,中正路551之2號,,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00020-1-GHP,57:14.1,24:27.6,NULL
A107090600155,21,專案,,海鰻王股份有限公司,物流業,進出口業,八里區,觀海大道166號,,20171115,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00021-1-GHP,57:22.5,24:27.6,NULL
A107090600155,22,專案,,鑫珍貿易有限公司,物流業,低溫物流業,八里區,忠孝路29號,,20171115,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00022-1-GHP,57:41.5,24:27.6,NULL
A107090600155,23,專案,,鑫弘貿易有限公司,物流業,進出口業,八里區,忠孝路43號,,20171115,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00023-1-GHP,57:49.7,24:27.6,NULL
A107090600155,24,專案,,康友生醫國際有限公司,物流業,進出口業,三重區,三和路4段380號3樓之9,,20171114,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00024-1-GHP,57:58.1,24:27.6,NULL
A107090600155,352,專案,,展泉國際貿易有限公司,食品販賣業,食品進口商,板橋區,光華街15巷16之3號4樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00352-1-GHP,18:13.5,24:27.6,NULL
A107090600155,353,專案,,鱈頭廬有限公司,食品販賣業,食品進口商,淡水區,中正東路2段27之9號5樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00353-1-GHP,18:20.1,24:27.6,NULL
A107090600155,354,專案,,祥而盛企業有限公司,餐飲業,一般餐廳,淡水區,中正東路2段27之9號5樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00354-1-GHP,18:26.4,24:27.6,NULL
A107090600155,355,專案,,傲力企業有限公司,食品販賣業,食品進口商,淡水區,中正東路2段27之9號5樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00355-1-GHP,18:32.0,24:27.6,NULL
A107090600155,356,專案,,施樂恩健康事業有限公司,食品販賣業,食品進口商,板橋區,文化路2段285號22樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00356-1-GHP,18:37.5,24:27.6,NULL
A107090600155,357,專案,,群澤有限公司,食品販賣業,食品進口商,三重區,成功路51號6樓之1,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00357-1-GHP,18:42.8,24:27.6,NULL
A107090600155,358,專案,,榮源有限公司,食品販賣業,食品進口商,五股區,新五路2段92巷46號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00358-1-GHP,18:49.4,24:27.6,NULL
A107090600155,359,專案,,臺隆工業股份有限公司,食品販賣業,食品進口商,新莊區,化成路459號,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00359-1-GHP,18:54.3,24:27.6,NULL
A107090600155,360,專案,,双安有限公司,食品販賣業,食品進口商,五股區,五工三路121號,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00360-1-GHP,18:59.0,24:27.6,NULL
A107090600155,361,專案,,金格食品股份有限公司,食品販賣業,食品進口商,板橋區,南門街17號,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00361-1-GHP,19:05.0,24:27.6,NULL
A107090600155,362,專案,,連豐生技股份有限公司,食品販賣業,食品進口商,三峽區,中正路1段474之1號,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00362-1-GHP,19:09.8,24:27.6,NULL
A107090600155,363,專案,,振全有限公司,食品販賣業,食品進口商,五股區,五工三路121號,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00363-1-GHP,19:14.9,24:27.6,NULL
A107090600155,364,專案,,德匯興業股份有限公司,食品販賣業,食品進口商,汐止區,新台五路1段87號11樓之7,D棟,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00364-1-GHP,19:19.7,24:27.6,NULL
A107090600155,365,專案,,韓寶國際企業有限公司,食品販賣業,食品進口商,泰山區,新北大道6段401號4樓,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00365-1-GHP,19:30.4,24:27.6,NULL
A107090600155,366,專案,,澎富企業有限公司,食品工廠,罐頭食品,中和區,員山路506之1號3樓,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00366-1-GHP,19:25.3,24:27.6,NULL
A107090600155,367,專案,,旭仲國際股份有限公司,物流業,進出口業,汐止區,新興路83之5號8樓,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00367-1-GHP,19:34.9,24:27.6,NULL
A107090600155,368,專案,,原自天然股份有限公司,食品販賣業,其他食品販賣業,深坑區,北深路3段270巷2號8樓,新北市深坑區北深路三段270巷2號8樓,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00368-1-GHP,19:44.3,24:27.6,NULL
A107090600155,369,專案,,盛德竹科技股份有限公司,物流業,一般倉儲業,汐止區,新台五路1段75號2樓之1,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00369-1-GHP,19:38.7,24:27.6,NULL
A107090600155,370,專案,,摩登富有限公司,食品販賣業,食品進口商,汐止區,福德一路351巷9號,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00370-1-GHP,19:48.7,24:27.6,NULL
A107090600155,371,專案,,隆恆企業有限公司,食品販賣業,食品進口商,汐止區,大同路1段159之2號,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00371-1-GHP,19:53.4,24:27.6,NULL
A107090600155,373,專案,,金豐華企業有限公司,食品販賣業,食品進口商,新店區,寶中路94號6樓之5,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00373-1-GHP,20:14.3,24:27.6,NULL
A107090600155,374,專案,,惠群食品股份有限公司,食品販賣業,食品進口商,汐止區,中興路183巷10號,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00374-1-GHP,20:02.8,24:27.6,NULL
A107090600155,375,專案,,鴻文科技有限公司,食品販賣業,食品進口商,汐止區,忠三街39巷59號,,20171206,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00375-1-GHP,20:18.8,24:27.6,NULL
A107090600155,376,專案,,川武食品股份有限公司,食品販賣業,食品進口商,泰山區,福泰街24巷14弄10號1樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00376-1-GHP,20:22.7,24:27.6,NULL
A107090600155,378,專案,,台灣瓦克國際股份有限公司,食品販賣業,食品進口商,五股區,五權八路2號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00378-1-GHP,42:23.0,24:27.6,NULL
A107090600155,379,專案,,拓璞企業有限公司,食品販賣業,食品進口商,汐止區,中興路183巷37號4樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00379-1-GHP,42:28.5,24:27.6,NULL
A107090600155,380,專案,,安娜食品有限公司,物流業,進出口業,汐止區,大同路2段141號1樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00380-1-GHP,42:33.9,24:27.6,NULL
A107090600155,382,專案,,繽豆國際股份有限公司,食品販賣業,食品進口商,新店區,中興路1段267之2號3樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00382-1-GHP,42:48.8,24:27.6,NULL
A107090600155,383,專案,,光明企業有限公司,食品販賣業,食品進口商,三重區,碧華街216巷14弄16號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00383-1-GHP,43:01.3,24:27.6,NULL
A107090600155,384,專案,,尚麟工程有限公司,物流業,食品添加物,林口區,仁愛路2段192巷16弄10號5樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00384-1-GHP,43:08.0,24:27.6,NULL
A107090600155,386,專案,,來歐盟生活股份有限公司,食品販賣業,食品進口商,八里區,長道坑2之8號,東方超捷物流,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00386-1-GHP,44:36.1,24:27.6,NULL
A107090600155,387,專案,,荷旺企業有限公司,食品工廠,休閒食品,樹林區,光武街34巷5號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00387-1-GHP,44:41.3,24:27.6,NULL
A107090600155,388,專案,,廣德股份有限公司,食品販賣業,食品進口商,汐止區,大同路1段239號7樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00388-1-GHP,44:46.9,24:27.6,NULL
A107090600155,389,專案,,勝利興業有限公司,食品販賣業,食品進口商,三峽區,大學路35號8樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00389-1-GHP,44:52.1,24:27.6,NULL
A107090600155,390,專案,,綠橄欖有限公司,食品販賣業,食品進口商,汐止區,新台五路1段75號19樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00390-1-GHP,44:57.2,24:27.6,NULL
A107090600155,391,專案,,銘樸實業有限公司,物流業,食品添加物,永和區,保生路22巷14號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00391-1-GHP,45:03.1,24:27.6,NULL
A107090600155,392,專案,,光勁能源股份有限公司,食品販賣業,食品進口商,板橋區,文化路2段485號15樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00392-1-GHP,45:11.5,24:27.6,NULL
A107090600155,393,專案,,光茵生物科技股份有限公司,食品販賣業,食品進口商,板橋區,文化路2段485號15樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00393-1-GHP,45:16.4,24:27.6,NULL
A107090600155,394,專案,,薩摩亞商環球採購股份有限公司,食品販賣業,食品進口商,三重區,永德街287之4號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00394-1-GHP,45:21.5,24:27.6,NULL
A107090600155,395,專案,,香港商第一綠天有限公司,食品販賣業,食品進口商,瑞芳區,楓子瀨路1巷6號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00395-1-GHP,45:31.4,24:27.6,NULL
A107090600155,396,專案,,丸川商事有限公司,食品販賣業,食品進口商,三重區,重新路2段78號18樓之3,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00396-1-GHP,45:26.2,24:27.6,NULL
A107090600155,397,專案,,鼎極國際餐飲股份有限公司,食品販賣業,食品進口商,汐止區,新台五路1段180號3樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00397-1-GHP,45:37.0,24:27.6,NULL
A107090600155,399,專案,,益品食品有限公司,其他一般食品製造業,食品添加物,汐止區,長安路179號1樓,汐止區長安路179號1樓,20171204,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00399-1-GHP,45:58.1,24:27.6,NULL
A107090600155,401,專案,,梁山兄弟貿易有限公司,食品販賣業,食品進口商,新店區,中正路501之11號5樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00401-1-GHP,46:14.9,24:27.6,NULL
A107090600155,402,專案,,野果實業有限公司,食品販賣業,食品進口商,板橋區,文化路1段362號13樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00402-1-GHP,46:32.7,24:27.6,NULL
A107090600155,403,專案,,仟宸科技有限公司,食品販賣業,食品進口商,三重區,光復路2段80號4樓之7,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00403-1-GHP,46:37.5,24:27.6,NULL
A107090600155,404,專案,,薇馥有限公司,物流業,食品添加物,汐止區,康寧街61巷22弄9號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00404-1-GHP,46:43.4,24:27.6,NULL
A107090600155,405,專案,,瑞比朗國際股份有限公司,食品販賣業,食品進口商,汐止區,新台五路1段77號11樓之1,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00405-1-GHP,46:48.7,24:27.6,NULL
A107090600155,406,專案,,廣馬企業有限公司,物流業,食品添加物,淡水區,英專路178號B1樓之5,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00406-1-GHP,46:54.7,24:27.6,NULL
A107090600155,407,專案,,韓松貿易有限公司,食品販賣業,食品進口商,五股區,五權八路39號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00407-1-GHP,46:59.4,24:27.6,NULL
A107090600155,408,專案,,城邑食品股份有限公司,物流業,進出口業,八里區,中華路1段309巷19之5號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00408-1-GHP,47:13.6,24:27.6,NULL
A107090600155,409,專案,,宜家家居股份有限公司,食品販賣業,其他食品販賣業,新莊區,中正路1號3樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00409-1-GHP,47:19.4,24:27.6,NULL
A107090600155,411,專案,,年威企業有限公司,物流業,進出口業,汐止區,福德一路392巷11號1樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00411-1-GHP,47:30.2,24:27.6,NULL
A107090600155,412,專案,,伂橙股份有限公司,食品工廠,茶製品,五股區,五權六路26號3樓,3、4、5,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00412-1-GHP,47:34.8,24:27.6,NULL
A107090600155,414,專案,,元霖實業有限公司,物流業,低溫物流業,泰山區,新北大道5段287巷47號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00414-1-GHP,47:44.2,24:27.6,NULL
A107090600155,415,專案,,東藥企業有限公司,食品販賣業,食品進口商,林口區,頭湖74之9號,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00415-1-GHP,47:49.2,24:27.6,NULL
A107090600155,416,專案,,百正研化食品有限公司,食品工廠,錠狀膠囊食品,中和區,中板路7之2號5樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00416-1-GHP,47:54.4,24:27.6,NULL
A107090600155,417,專案,,美商美國製藥股份有限公司,食品販賣業,食品進口商,三重區,重新路5段635之2號7樓,,20171211,食品現場稽查紀錄表(GHP),A1,合格,A107090600155-00417-1-GHP,48:07.7,24:27.6,NULL
A107082800859,2,民眾檢舉,,三媽臭臭鍋,餐飲業,一般餐廳,永和區,成功路2段150號,,20180912,食品現場稽查紀錄表(GHP),E1,其他(結案後另案續辦),A107082800859-00002-1-GHP,55:56.5,24:27.6,NULL
A107082800862,1,民眾檢舉,,招牌鴨肉飯斗六門當歸鴨肉麵線,餐飲業,一般餐廳,中和區,自立路9號,,20180831,食品現場稽查紀錄表(GHP),B1,不合格,A107082800862-00001-1-GHP,44:23.5,24:27.6,NULL
A107082800862,2,民眾檢舉,,招牌鴨肉飯斗六門當歸鴨肉麵線,餐飲業,一般餐廳,中和區,自立路9號,,20180925,食品現場稽查紀錄表(GHP),B2,複查不合格,A107082800862-00002-1-GHP,32:37.7,24:27.6,NULL
A107082800878,1,其他,,龍記水產,地下工廠,水產及加工品,三峽區,嘉添227之7號,,20180831,食品現場稽查紀錄表(GHP),B1,不合格,A107082800878-00001-1-GHP,13:05.8,24:27.6,NULL
A107082800878,2,其他,,龍記水產,地下工廠,水產及加工品,三峽區,嘉添227之7號,,20180921,食品現場稽查紀錄表(GHP),E1,其他(結案後另案續辦),A107082800878-00002-1-GHP,55:57.0,24:27.6,NULL
A107082900880,1,民眾檢舉,,孫東寶(市招)金得利牛排館(營登),餐飲業,一般餐廳,土城區,延和路110號,,20180831,食品現場稽查紀錄表(GHP),B1,不合格,A107082900880-00001-1-GHP,59:58.6,24:27.6,NULL
A107082900880,2,民眾檢舉,,孫東寶(市招)金得利牛排館(營登),餐飲業,一般餐廳,土城區,延和路110號,,20180920,食品現場稽查紀錄表(GHP),A2,複查合格,A107082900880-00002-1-GHP,05:46.8,24:27.6,NULL
A107083000931,3,調查及追蹤,,COCO都可茶飲 新埔店,餐飲業,飲料店業,淡水區,淡金路4段560號,,20180830,食品現場稽查紀錄表(GHP),B1,不合格,A107083000931-00003-1-GHP,00:01.3,24:27.6,NULL
A107083000931,4,調查及追蹤,,COCO都可茶飲 新埔店,餐飲業,飲料店業,淡水區,淡金路4段560號,,20180904,食品現場稽查紀錄表(GHP),A2,複查合格,A107083000931-00004-1-GHP,15:45.2,24:27.6,NULL
A107083000933,1,專案,107年新北市校園食品安全管理精進執行計畫-餐盒工廠,百原食品有限公司,食品工廠,餐盒食品,五股區,中興路1段61號,,20180903,食品現場稽查紀錄表(GHP),A3,輔導改善,A107083000933-00001-1-GHP,52:03.6,24:27.6,NULL
A107083000933,15,專案,107年新北市校園食品安全管理精進執行計畫-餐盒工廠,味味美食有限公司,食品工廠,餐盒食品,五股區,中興路1段95巷4弄3號,3、5號,20180904,食品現場稽查紀錄表(GHP),A3,輔導改善,A107083000933-00015-1-GHP,52:10.5,24:27.6,NULL
A107083000933,19,專案,107年新北市校園食品安全管理精進執行計畫-餐盒工廠,統鮮美食股份有限公司,食品工廠,餐盒食品,三重區,中興北街136巷18弄18號,,20180903,食品現場稽查紀錄表(GHP),A3,輔導改善,A107083000933-00019-1-GHP,52:12.7,24:27.6,NULL
A107083000933,26,專案,107年新北市校園食品安全管理精進執行計畫-餐盒工廠,新北食品股份有限公司,食品工廠,餐盒食品,三重區,國道路1段59號,,20180904,食品現場稽查紀錄表(GHP),A3,輔導改善,A107083000933-00026-1-GHP,52:15.9,24:27.6,NULL
A107083000933,29,專案,107年新北市校園食品安全管理精進執行計畫-餐盒工廠,愛欣食品有限公司,食品工廠,餐盒食品,淡水區,八勢一街1號,,20180905,食品現場稽查紀錄表(GHP),A3,輔導改善,A107083000933-00029-1-GHP,52:17.5,24:27.6,NULL
A107083000933,30,專案,107年新北市校園食品安全管理精進執行計畫-餐盒工廠,珍品軒食品有限公司,食品工廠,餐盒食品,中和區,立德街112號B1樓,,20180903,食品現場稽查紀錄表(GHP),B1,不合格,A107083000933-00030-1-GHP,52:18.0,24:27.6,NULL
A107083000933,31,專案,107年新北市校園食品安全管理精進執行計畫-餐盒工廠,珍品軒食品有限公司,食品工廠,餐盒食品,中和區,立德街112號B1樓,,20180912,食品現場稽查紀錄表(GHP),A2,複查合格,A107083000933-00031-1-GHP,52:19.1,24:27.6,NULL
A107083000933,33,專案,107年新北市校園食品安全管理精進執行計畫-餐盒工廠,宏遠國際餐飲股份有限公司五股二廠,食品工廠,餐盒食品,五股區,五權路54號,,20180907,食品現場稽查紀錄表(GHP),A3,輔導改善,A107083000933-00033-1-GHP,52:19.8,24:27.6,NULL
A107083000933,39,專案,107年新北市校園食品安全管理精進執行計畫-餐盒工廠,昱品食品有限公司,食品工廠,餐盒食品,樹林區,忠愛街2號1樓,,20180910,食品現場稽查紀錄表(GHP),A3,輔導改善,A107083000933-00039-1-GHP,52:23.2,24:27.6,NULL
